bite_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,n_chews,chewing_frequency_per_sec,avg_chew_time_sec,chew_side,mouth_open_frames
0,0,106,0.0,2.861986176317156,2.8889860459050536,1,0.3461422049502225,2.321988784559202,right,86
1,107,113,2.8889860459050536,3.05098526343244,0.1889990871152839,1,5.291030847096258,0.0539997391757954,right,2
2,114,121,3.077985133020338,3.2669842201356216,0.2159989567031816,1,4.629651991209226,0.0539997391757954,right,2
3,122,123,3.2939840897235193,3.320983959311417,0.0539997391757954,1,18.518607964836903,0.0269998695878977,right,1
4,124,132,3.3479838288993147,3.563982785602496,0.2429988262910793,1,4.1152462144082005,0.0809996087636931,right,3
5,133,144,3.590982655190394,3.887981220657269,0.3239984350547724,1,3.0864346608061504,0.2969985654668747,right,11
6,145,161,3.9149810902451665,4.34697900365153,0.45899778299426086,1,2.1786597605690474,0.4319979134063632,right,16
7,162,190,4.373978873239428,5.129975221700563,0.7829962180490333,1,1.2771453768853036,0.7559963484611356,right,28
8,191,225,5.15697509128846,6.074970657276983,0.9449954355764195,1,1.0582061694192515,0.2159989567031816,right,8
9,226,265,6.10197052686488,7.15496544079289,1.079994783515908,1,0.9259303982418451,0.2429988262910793,right,9
10,266,285,7.181965310380788,7.694962832550845,0.539997391757954,1,1.8518607964836902,0.1619992175273862,right,6
11,286,305,7.721962702138742,8.234960224308798,0.539997391757954,1,1.8518607964836902,0.2969985654668747,right,11
12,306,320,8.261960093896695,8.639958268127264,0.4049980438184655,1,2.4691477286449204,0.1349993479394885,right,5
13,321,337,8.666958137715161,9.098956051121524,0.45899778299426086,1,2.1786597605690474,0.1619992175273862,right,6
14,338,355,9.125955920709423,9.584953703703682,0.4859976525821586,1,2.0576231072041002,0.0809996087636931,right,3
15,356,404,9.611953573291581,10.90794731351067,1.3229936098069872,1,0.7558615495851797,0.1889990871152839,right,7
16,405,472,10.934947183098569,12.743938445487714,1.8359911319770434,1,0.5446649401422619,0.35099830464267007,right,13
17,473,490,12.770938315075611,13.229936098069873,0.4859976525821586,1,2.0576231072041002,0.269998695878977,right,10
18,491,499,13.25693596765777,13.472934924360953,0.2429988262910793,1,4.1152462144082005,0.1349993479394885,right,5
19,500,520,13.49993479394885,14.039932185706803,0.5669972613458517,1,1.7636769490320858,0.2969985654668747,right,11
20,521,538,14.066932055294702,14.525929838288961,0.4859976525821586,1,2.0576231072041002,0.1619992175273862,right,6
21,539,553,14.55292970787686,14.930927882107428,0.4049980438184655,1,2.4691477286449204,0.1349993479394885,right,5
22,554,568,14.957927751695324,15.335925925925894,0.4049980438184655,1,2.4691477286449204,0.1619992175273862,right,6
23,569,593,15.36292579551379,16.010922665623337,0.6749967396974424,1,1.4814886371869522,0.1889990871152839,right,7
24,594,621,16.037922535211234,16.766919014084472,0.7559963484611356,1,1.3227577117740645,0.4049980438184655,right,15
25,622,647,16.79391888367237,17.46891562336981,0.7019966092853401,1,1.424508304987454,0.1079994783515908,right,4
26,648,657,17.49591549295771,17.73891431924879,0.269998695878977,1,3.7037215929673803,0.0539997391757954,right,2
27,658,675,17.765914188836685,18.224911971830945,0.4859976525821586,1,2.0576231072041002,0.2429988262910793,right,9
28,676,692,18.251911841418845,18.68390975482521,0.45899778299426086,1,2.1786597605690474,0.0809996087636931,right,3
29,693,728,18.710909624413105,19.655905059989525,0.9719953051643172,1,1.0288115536020501,0.6749967396974424,right,25
30,729,752,19.682904929577422,20.30390193009907,0.6479968701095448,1,1.5432173304030752,0.4319979134063632,right,16
31,753,770,20.330901799686966,20.78989958268123,0.4859976525821586,1,2.0576231072041002,0.0809996087636931,right,3
32,771,779,20.816899452269126,21.032898408972308,0.2429988262910793,1,4.1152462144082005,0.1079994783515908,right,4
33,780,809,21.059898278560205,21.84289449660924,0.809996087636931,1,1.2345738643224602,0.6479968701095448,right,24
34,810,815,21.869894366197137,22.004893714136625,0.1619992175273862,1,6.172869321612301,0.1079994783515908,right,4
35,816,826,22.03189358372452,22.3018922796035,0.2969985654668747,1,3.367019629970346,0.0809996087636931,right,3
36,827,844,22.328892149191397,22.787889932185657,0.4859976525821586,1,2.0576231072041002,0.1349993479394885,right,5
37,845,899,22.814889801773557,24.27288275952003,1.4849928273343735,1,0.6734039259940692,0.7559963484611356,right,28
38,900,1012,24.29988262910793,27.32386802295247,3.05098526343244,1,0.3277629728289717,2.2949889149713045,right,85
39,1013,1024,27.350867892540368,27.647866458007243,0.3239984350547724,1,3.0864346608061504,0.0269998695878977,right,1
40,1025,1034,27.67486632759514,27.917865153886222,0.269998695878977,1,3.7037215929673803,0.2429988262910793,right,9
41,1035,1054,27.94486502347412,28.457862545644176,0.539997391757954,1,1.8518607964836902,0.0269998695878977,right,1
42,1055,1056,28.484862415232072,28.51186228481997,0.0539997391757954,1,18.518607964836903,0.0269998695878977,right,1
43,1057,1084,28.53886215440787,29.267858633281104,0.7559963484611356,1,1.3227577117740645,0.2969985654668747,right,11
44,1085,1127,29.294858502869005,30.428853025560706,1.160994392279601,1,0.8613306030156699,0.2969985654668747,right,11
45,1128,1147,30.455852895148606,30.96885041731866,0.539997391757954,1,1.8518607964836902,0.35099830464267007,right,13
46,1148,1177,30.99585028690656,31.77884650495559,0.809996087636931,1,1.2345738643224602,0.1079994783515908,right,4
47,1178,1195,31.80584637454349,32.26484415753775,0.4859976525821586,1,2.0576231072041002,0.2159989567031816,right,8
48,1196,1212,32.29184402712565,32.72384194053201,0.45899778299426086,1,2.1786597605690474,0.0809996087636931,right,3
49,1213,1220,32.75084181011991,32.93984089723519,0.2159989567031816,1,4.629651991209226,0.1079994783515908,right,4
50,1221,1231,32.96684076682309,33.236839462702065,0.2969985654668747,1,3.367019629970346,0.0269998695878977,right,1
