bite_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,n_chews,chewing_frequency_per_sec,avg_chew_time_sec,chew_side,mouth_open_frames
0,0,104,0.0,3.4668480183344488,3.5001830954338184,1,0.28569933993011826,2.8001464763470545,left,84
1,105,119,3.5001830954338184,3.966874174824994,0.5000261564905455,1,1.9998953795108276,0.1333403083974788,right,4
2,120,218,4.000209251924364,7.267046807662594,3.3001726328376,1,0.3030144514410345,3.2668375557382303,left,98
3,219,245,7.300381884761964,8.167093889345576,0.9000470816829819,1,1.1110529886171265,0.4333560022918061,left,13
4,246,387,8.200428966444946,12.900674837456073,4.733580948110497,1,0.211256554173679,4.066879406123103,left,122
5,388,427,12.934009914555443,14.234077921430861,1.333403083974788,1,0.7499607673165605,1.233397852676679,left,37
6,428,432,14.267412998530231,14.40075330692771,0.1666753854968485,1,5.999686138532484,0.0333350770993697,left,1
7,433,475,14.43408838402708,15.834161622200606,1.433408315272897,1,0.6976379230851726,1.3000680068754182,left,39
8,476,484,15.867496699299975,16.134177316094934,0.3000156938943273,1,3.3331589658513794,0.23334553969558788,left,7
9,485,488,16.167512393194304,16.267517624492413,0.1333403083974788,1,7.499607673165604,0.0333350770993697,left,1
10,489,492,16.300852701591783,16.400857932889892,0.1333403083974788,1,7.499607673165604,0.10000523129810909,left,3
11,493,553,16.43419300998926,18.43429763595144,2.0334397030615516,1,0.4917775523387281,2.000104625962182,right,60
12,554,687,18.46763271305081,22.90119796726698,4.466900331315539,1,0.22386888576613745,3.8001987893281455,left,114
13,688,698,22.93453304436635,23.267883815360047,0.3666858480930667,1,2.7271300629693105,0.3000156938943273,left,9
14,699,704,23.301218892459417,23.46789427795627,0.20001046259621819,1,4.9997384487770695,0.0333350770993697,left,1
15,705,724,23.50122935505564,24.134595819943662,0.666701541987394,1,1.499921534633121,0.1333403083974788,left,4
16,725,833,24.167930897043032,27.76811922377496,3.633523403831297,1,0.2752149604831414,2.9334867847445336,left,88
17,834,842,27.80145430087433,28.068134917669287,0.3000156938943273,1,3.3331589658513794,0.1666753854968485,right,5
18,843,1246,28.101469994768657,41.535506065814644,13.467371148145357,1,0.07425354131847134,12.767334529058594,left,383
19,1247,1265,41.56884114291401,42.168872530702664,0.6333664648880243,1,1.5788647732980219,0.3000156938943273,left,9
20,1266,1271,42.20220760780204,42.36888299329888,0.20001046259621819,1,4.9997384487770695,0.1666753854968485,left,5
21,1272,1278,42.402218070398256,42.602228532994474,0.23334553969558788,1,4.285490098951774,0.0333350770993697,left,1
22,1279,1312,42.63556361009385,43.73562115437304,1.1333926213785697,1,0.8823067850783064,0.8667120045836122,left,26
23,1313,1330,43.768956231472416,44.3356525421617,0.6000313877886546,1,1.6665794829256897,0.5666963106892848,left,17
24,1331,1341,44.36898761926107,44.702338390254766,0.3666858480930667,1,2.7271300629693105,0.0333350770993697,left,1
25,1342,1391,44.73567346735413,46.36909224522325,1.6667538549684848,1,0.5999686138532484,1.6334187778691152,left,49
26,1392,1437,46.402427322322616,47.902505791794255,1.5334135465710061,1,0.6521397976665743,1.5000784694716365,left,45
27,1438,1444,47.93584086889363,48.135851331489846,0.23334553969558788,1,4.285490098951774,0.1333403083974788,left,4
28,1445,1454,48.16918640858921,48.46920210248354,0.333350770993697,1,2.999843069266242,0.1666753854968485,left,5
29,1455,1458,48.50253717958291,48.60254241088102,0.1333403083974788,1,7.499607673165604,0.10000523129810909,left,3
30,1459,1770,48.63587748798039,59.003086465884365,10.400544055003346,1,0.09614881632263594,9.867182821413431,left,296
31,1771,1775,59.03642154298373,59.16976185138121,0.1666753854968485,1,5.999686138532484,0.10000523129810909,left,3
32,1776,1780,59.20309692848058,59.33643723687806,0.1666753854968485,1,5.999686138532484,0.10000523129810909,left,3
33,1781,1782,59.36977231397743,59.4031073910768,0.0666701541987394,1,14.999215346331209,0.0333350770993697,left,1
